Sukunimi;Yhteensä;;;
Rotinen;60;;;
Runsten;60;;;
Ryökkynen;60;;;
Rämet;60;;;
Rötkönen;60;;;
Salonranta;60;;;
Seppo;60;;;
Sharif;60;;;
Silaste;60;;;
Sillsten;60;;;
Siltavirta;60;;;
Skonbäck;60;;;
Stavén;60;;;
Telén;60;;;
Tengström;60;;;
Tieaho;60;;;
Tistelgren;60;;;
Tokoi;60;;;
Träskman;60;;;
Turner;60;;;
Tyrisevä;60;;;
Tyrni;60;;;
Uttula;60;;;
Vaha;60;;;
Vaheri;60;;;
Vainiotalo;60;;;
Vaissi;60;;;
Vaskivuori;60;;;
Vasu;60;;;
Vatjus-Anttila;60;;;
Vehmasto;60;;;
Vest;60;;;
Viertokangas;60;;;
Vikeväinen;60;;;
Virokannas;60;;;
von Hellens;60;;;
Vuorenheimo;60;;;
Välivaara;60;;;
Yli-Peltola;60;;;
Yliruusi;60;;;
Ahtiala;59;;;
Alalantela;59;;;
Ala-Renko;59;;;
Alaviuhkola;59;;;
Andtfolk;59;;;
Aroalho;59;;;
Avila;59;;;
Beck;59;;;
Bergvik;59;;;
Bogdanov;59;;;
Boucht;59;;;
Diallo;59;;;
Drake;59;;;
Ekfors;59;;;
Erkkola;59;;;
Erling;59;;;
Evikoski;59;;;
Falkenberg;59;;;
Ferati;59;;;
Franzen;59;;;
Friimäki;59;;;
Grotenfelt;59;;;
Grönros;59;;;
Gupta;59;;;
Gästgivar;59;;;
Haahtela;59;;;
Haapalinna;59;;;
Halava;59;;;
Haque;59;;;
Haromo;59;;;
Heltimoinen;59;;;
Hepoaho;59;;;
Hiiva;59;;;
Hinders;59;;;
Hoppu;59;;;
Horila;59;;;
Horneman;59;;;
Huikkonen;59;;;
Ilmén;59;;;
Itäranta;59;;;
James;59;;;
Johans;59;;;
John;59;;;
Johtela;59;;;
Jonkka;59;;;
Joutsimäki;59;;;
Juhannusvuori;59;;;
Kaalikoski;59;;;
Kaan;59;;;
Kaartokallio;59;;;
Kalho;59;;;
Kalliokulju;59;;;
Kallojärvi;59;;;
Kamppari;59;;;
Karru;59;;;
Katajavuori;59;;;
Kekonen;59;;;
Kenakkala;59;;;
Kiiliäinen;59;;;
Killinen;59;;;
Kinaret;59;;;
Koivuharju;59;;;
Koivuperä;59;;;
Konnu;59;;;
Korkman;59;;;
Koskenniska;59;;;
Koski-Lammi;59;;;
Krüger;59;;;
Käräjämies;59;;;
Kölli;59;;;
Lahdenpää;59;;;
Laurinolli;59;;;
Lempiälä;59;;;
Leppimaa;59;;;
Leppäsalo;59;;;
Lervik;59;;;
Levin;59;;;
Liekkinen;59;;;
Linsén;59;;;
Lumppio;59;;;
Lähdetniemi;59;;;
Lönnbäck;59;;;
Löv;59;;;
Mahmoud;59;;;
Maininki;59;;;
Majapuro;59;;;
Marshall;59;;;
Mattson;59;;;
Mellberg;59;;;
Metsänranta;59;;;
Morgan;59;;;
Muurainen;59;;;
Mäki-Valkama;59;;;
Nagy;59;;;
Nilivaara;59;;;
Nimell;59;;;
Nuottajärvi;59;;;
Näyhä;59;;;
Paimen;59;;;
Pakula;59;;;
Pappi;59;;;
Pennonen;59;;;
Perilä;59;;;
Peräinen;59;;;
Pilvi;59;;;
Pipatti;59;;;
Plattonen;59;;;
Pohjois-Koivisto;59;;;
Puheloinen;59;;;
Punkeri;59;;;
Putula;59;;;
Pyyppönen;59;;;
Rajasaari;59;;;
Rankila;59;;;
Rantaharju;59;;;
Rautama;59;;;
Repka;59;;;
Riitamaa;59;;;
Roikola;59;;;
Rouru;59;;;
Rusko;59;;;
Saini;59;;;
Salovirta;59;;;
Sarala;59;;;
Saunavaara;59;;;
Segervall;59;;;
Seijari;59;;;
Simon;59;;;
Somervuori;59;;;
Stormbom;59;;;
Sundstedt;59;;;
Suonkanta;59;;;
Supponen;59;;;
Syyrakki;59;;;
Tapiainen;59;;;
Tarkkinen;59;;;
Tarkkio;59;;;
Taussi;59;;;
Teppana;59;;;
Thomson;59;;;
Turto;59;;;
Utoslahti;59;;;
Valtokari;59;;;
Vassinen;59;;;
Victorzon;59;;;
Vihola;59;;;
Viisteensaari;59;;;
Vikeväkorva;59;;;
Viktorsson;59;;;
Viljala;59;;;
Vitie;59;;;
Väntti;59;;;
Wide;59;;;
Widenius;59;;;
Yli-Jaskari;59;;;
Yli-Kivistö;59;;;
Yli-Paavola;59;;;
Yli-Rahnasto;59;;;
Ylisirkka;59;;;
Ahrenberg;58;;;
Ahtela;58;;;
Alakorva;58;;;
Alexander;58;;;
Arve;58;;;
Arvelin;58;;;
Assinen;58;;;
Asumaa;58;;;
Avela;58;;;
Awad;58;;;
Axberg;58;;;
Axén;58;;;
Beckman;58;;;
Camara;58;;;
Dufvelin;58;;;
Egal;58;;;
Eksymä;58;;;
Ellmén;58;;;
Eskuri;58;;;
Essel;58;;;
Eurén;58;;;
Falin;58;;;
Fonsell;58;;;
Forma;58;;;
Fri;58;;;
Frosti;58;;;
Gray;58;;;
Hakaniemi;58;;;
Hakari;58;;;
Hartus;58;;;
Hentelä;58;;;
Hiukkamäki;58;;;
Hodzic;58;;;
Hoffmann;58;;;
Holtti;58;;;
Hulanmäki;58;;;
Huosianmaa;58;;;
Ilmoni;58;;;
Iloniemi;58;;;
Jouttunpää;58;;;
Jyrkönen;58;;;
Kairamo;58;;;
Kajanto;58;;;
Kalima;58;;;
Kalliorinne;58;;;
Kaperi;58;;;
Kaunisvesi;58;;;
Kerko;58;;;
Keskikuru;58;;;
Keski-Petäjä;58;;;
Kiekara;58;;;
Kiho;58;;;
Kiilakoski;58;;;
Kirjava;58;;;
Kivilähde;58;;;
Knutsson;58;;;
Korjala;58;;;
Kortetmäki;58;;;
Koskenkangas;58;;;
Koskilahti;58;;;
Kota-aho;58;;;
Kotkamaa;58;;;
Krokvik;58;;;
Kuikko;58;;;
Kuljukka;58;;;
Kurkikangas;58;;;
Kuuri;58;;;
Kuusamo;58;;;
Kuusipalo;58;;;
Kytösaari;58;;;
Kärenaho;58;;;
Lahdenmaa;58;;;
Larkkonen;58;;;
Lavia;58;;;
Lillstrang;58;;;
Limatius;58;;;
Liukkunen;58;;;
Loskin;58;;;
Maajärvi;58;;;
Maidell;58;;;
Majasaari;58;;;
Manns;58;;;
Mehtätalo;58;;;
Metelinen;58;;;
Misikangas;58;;;
Moskuvaara;58;;;
Muhammed;58;;;
Murtojärvi;58;;;
Nampajärvi;58;;;
Nars;58;;;
Nevander;58;;;
Nieppola;58;;;
Niittumäki;58;;;
Nikamaa;58;;;
Nokso;58;;;
Ohvanainen;58;;;
Ottosson;58;;;
Paasolainen;58;;;
Pahajoki;58;;;
Pantti;58;;;
Paturi;58;;;
Pavlova;58;;;
Peltoluhta;58;;;
Pentilä;58;;;
Perkiökangas;58;;;
Pihlajakoski;58;;;
Pinta;58;;;
Plaketti;58;;;
Pohjanvirta;58;;;
Pohtola;58;;;
Poso;58;;;
Puiras;58;;;
Påfs;58;;;
Pöljö;58;;;
Pöytäkivi;58;;;
Rantajärvi;58;;;
Rautapuro;58;;;
Rimali;58;;;
Roni;58;;;
Ruumensaari;58;;;
Ruusuvaara;58;;;
Ruutinen;58;;;
Rönnbacka;58;;;
Salokas;58;;;
Santapukki;58;;;
Savia;58;;;
Silo;58;;;
Simoinen;58;;;
Someroja;58;;;
Sparf;58;;;
Stepanov;58;;;
Stång;58;;;
Suvilehto;58;;;
Syngelmä;58;;;
Taikina-aho;58;;;
Taka-aho;58;;;
Tauschi;58;;;
Telaranta;58;;;
Telin;58;;;
Tervashonka;58;;;
Tilja;58;;;
Tulimäki;58;;;
Tupasela;58;;;
Tuviala;58;;;
Tytärniemi;58;;;
Uimi;58;;;
Vahe;58;;;
Välijärvi;58;;;
Wager;58;;;
Yli-Hukkala;58;;;
Ylivaara;58;;;
Änkilä;58;;;
Aali;57;;;
Abazi;57;;;
Akolahti;57;;;
Alapartanen;57;;;
Alariesto;57;;;
Alatossava;57;;;
Albäck;57;;;
Ali-Löytty;57;;;
Arovaara;57;;;
Birling;57;;;
Bjon;57;;;
Buuri;57;;;
Carlberg;57;;;
Collins;57;;;
Damsten;57;;;
Fedorova;57;;;
Fordell;57;;;
Foudila;57;;;
Gammelgård;57;;;
Gavrilov;57;;;
Haanela;57;;;
Haarakangas;57;;;
Heikki;57;;;
Huuhko;57;;;
Hyöppinen;57;;;
Jaronen;57;;;
Jokirinne;57;;;
Jordman;57;;;
Jylkäs;57;;;
Jännes;57;;;
Kallinki;57;;;
Karbin;57;;;
Karlqvist;57;;;
Kielenniva;57;;;
Kierikka;57;;;
Kiirikki;57;;;
Kimpanpää;57;;;
Kivenmäki;57;;;
Konka;57;;;
Korin;57;;;
Korkkinen;57;;;
Korpiniemi;57;;;
Kostin;57;;;
Kriikku;57;;;
Kuivakangas;57;;;
Kuusenmäki;57;;;
Kuussaari;57;;;
Kytösaho;57;;;
Lahelma;57;;;
Lakkonen;57;;;
Latonen;57;;;
Latvatalo;57;;;
Laurikka;57;;;
Lausamo;57;;;
Lautamatti;57;;;
Laxén;57;;;
Lempiö;57;;;
Leonsaari;57;;;
Liemola;57;;;
Lujanen;57;;;
Luoma-Keturi;57;;;
Luusuaniemi;57;;;
Lytz;57;;;
Mannersuo;57;;;
Metsävuori;57;;;
Moijanen;57;;;
Morelius;57;;;
Myhrberg;57;;;
Märsynaho;57;;;
Nedergård;57;;;
Nikumatti;57;;;
Norrvik;57;;;
Notkonen;57;;;
Oja-Nisula;57;;;
Ollus;57;;;
Ontero;57;;;
Orhanen;57;;;
Paalasmaa;57;;;
Panuma;57;;;
Pavlov;57;;;
Puusniekka;57;;;
Raiskila;57;;;
Rajander;57;;;
Rikka;57;;;
Ringbom;57;;;
Ritvonen;57;;;
Roslakka;57;;;
Salihu;57;;;
Salmenkangas;57;;;
Saukkosaari;57;;;
Saulio;57;;;
Soveri;57;;;
Stude;57;;;
Suppola;57;;;
Susiluoto;57;;;
Syrjälahti;57;;;
Säynevirta;57;;;
Taipalmaa;57;;;
Taxell;57;;;
Trög;57;;;
Tschokkinen;57;;;
Töyrä;57;;;
Unhola;57;;;
Vallas;57;;;
Veikanmaa;57;;;
Veranen;57;;;
Viirelä;57;;;
Vinha;57;;;
Wahlfors;57;;;
Wickstrand;57;;;
Ylikylä;57;;;
Yliuntinen;57;;;
Aapio;56;;;
Aarnisalo;56;;;
Abdalla;56;;;
Ailinpieti;56;;;
Al-Dulaimi;56;;;
Al-Gburi;56;;;
Altun;56;;;
Alve;56;;;
Amini;56;;;
Arstila;56;;;
Barnes;56;;;
Bedretdin;56;;;
Bom;56;;;
Cook;56;;;
Engren;56;;;
Ettala;56;;;
Ewalds;56;;;
Favorin;56;;;
Fazliu;56;;;
Fogelholm;56;;;
Forssten;56;;;
Göransson;56;;;
Haapatalo;56;;;
Haavasoja;56;;;
Harra;56;;;
Hart;56;;;
Hedemäki;56;;;
Heiniemi;56;;;
Heinua;56;;;
Hepomäki;56;;;
Hirsivaara;56;;;
Hituri;56;;;
Huhtimo;56;;;
Hultholm;56;;;
Huoso;56;;;
Husell;56;;;
Hyrylä;56;;;
Håkansson;56;;;
Högfors;56;;;
Hölsömäki;56;;;
Iittiläinen;56;;;
Jyräs;56;;;
Jörgensen;56;;;
Kailajärvi;56;;;
Kallio-Kujala;56;;;
Karkinen;56;;;
Karlin;56;;;
Karukka;56;;;
Kellola;56;;;
Keppola;56;;;
Keskipoikela;56;;;
Kivijakola;56;;;
Kjäll;56;;;
Konttajärvi;56;;;
Kopperi;56;;;
Kormu;56;;;
Kotkaniemi;56;;;
Kovács;56;;;
Kraatari;56;;;
Krekula;56;;;
Krökki;56;;;
Kuhno;56;;;
Köyhäjoki;56;;;
Leikkilä;56;;;
Leimola;56;;;
Levanto;56;;;
Liimola;56;;;
Lillsunde;56;;;
Lindsberg;56;;;
Ljungman;56;;;
Lod;56;;;
Luhtavaara;56;;;
Luntinen;56;;;
Luomanmäki;56;;;
Luonua;56;;;
Lytsy;56;;;
Lönnvik;56;;;
Manssila;56;;;
Maskonen;56;;;
Merranmaa;56;;;
Moalim;56;;;
Moksunen;56;;;
Mäkipörhölä;56;;;
Nisukangas;56;;;
Nuto;56;;;
Nytorp;56;;;
O'Connor;56;;;
Ojennus;56;;;
Orasmaa;56;;;
Polkko;56;;;
Puronhaara;56;;;
Pursiheimo;56;;;
Päivänsäde;56;;;
Pöyri;56;;;
Rantapere;56;;;
Raskila;56;;;
Raulamo;56;;;
Rautell;56;;;
Ristikangas;56;;;
Roini;56;;;
Rose;56;;;
Rosilainen;56;;;
Ruhtinas;56;;;
Rydberg;56;;;
Rönnback;56;;;
Saksinen;56;;;
Salento;56;;;
Salmenhaara;56;;;
Santaholma;56;;;
Santtila;56;;;
Sarjomaa;56;;;
Saxman;56;;;
Seeck;56;;;
Sillantaka;56;;;
Sirro;56;;;
Skott;56;;;
Soinne;56;;;
Suvisaari;56;;;
Sylander;56;;;
Tapanen;56;;;
Teivaala;56;;;
Timoska;56;;;
Torpakko;56;;;
Toskala;56;;;
Tuhkio;56;;;
Tulander;56;;;
Tullinen;56;;;
Tähtivaara;56;;;
Tätilä;56;;;
Tättilä;56;;;
Tölkkö;56;;;
Ulfves;56;;;
Vacklin;56;;;
Varismäki;56;;;
Vastamaa;56;;;
Vesilahti;56;;;
Viero;56;;;
Vikstrand;56;;;
Vivolin;56;;;
Vogt;56;;;
Välikorpi;56;;;
Wallasvaara;56;;;
Wasastjerna;56;;;
Willner;56;;;
Yli-Heikkilä;56;;;
Yliniemelä;56;;;
Ylistalo;56;;;
Äikiä;56;;;
Ässämäki;56;;;
Öhrnberg;56;;;
Acar;55;;;
Aerikkala;55;;;
Ala-Hiiro;55;;;
Alajääski;55;;;
Alapirtti;55;;;
Alaviitala;55;;;
Anglé;55;;;
Anttola;55;;;
Appelberg;55;;;
Arkkukangas;55;;;
Arnold;55;;;
Arra;55;;;
Askonen;55;;;
Asuintupa;55;;;
Aunela;55;;;
Bang;55;;;
Bildo;55;;;
Björkbom;55;;;
Björkvall;55;;;
Brink;55;;;
Bucht;55;;;
Çelik;55;;;
Dikert;55;;;
Elorinne;55;;;
Eromäki;55;;;
Foxell;55;;;
Grönthal;55;;;
Hagfors;55;;;
Hamdi;55;;;
Hannolainen;55;;;
Harvio;55;;;
Hauska;55;;;
Haviala;55;;;
Havimäki;55;;;
Hedenstam;55;;;
Hiekkaranta;55;;;
Hirvanen;55;;;
Holmstén;55;;;
Howard;55;;;
Hyödynmaa;55;;;
Hällsten;55;;;
Höckert;55;;;
Isokivijärvi;55;;;
Ivakko;55;;;
Jaarinen;55;;;
Jarske;55;;;
Jenkins;55;;;
Jeronen;55;;;
Joensivu;55;;;
Jokiniitty;55;;;
Jungar;55;;;
Jäppilä;55;;;
Järnberg;55;;;
Kaarne;55;;;
Kaipomäki;55;;;
Kaisti;55;;;
Kalajoki;55;;;
Kankaanperä;55;;;
Karanta;55;;;
Karpoff;55;;;
Karvala;55;;;
Kass;55;;;
Kauno;55;;;
Keihtä;55;;;
Keihäskoski;55;;;
Kemmo;55;;;
Keskisipilä;55;;;
Ketelimäki;55;;;
Kieleväinen;55;;;
Kihlakaski;55;;;
Kinnala;55;;;
Kinnaslampi;55;;;
Kivisilta;55;;;
Klenberg;55;;;
Korsulainen;55;;;
Kortemäki;55;;;
Kotta;55;;;
Kreula;55;;;
Kull;55;;;
Kuulasmaa;55;;;
Kuusa;55;;;
Kylén;55;;;
Kyytinen;55;;;
Käck;55;;;
Laajanen;55;;;
Larjo;55;;;
Law;55;;;
Leutonen;55;;;
Luukkola;55;;;
Mauriala;55;;;
Mettomäki;55;;;
Mullo;55;;;
Murtolahti;55;;;
Mäkipaaso;55;;;
Neulaniemi;55;;;
Niveri;55;;;
Ohlsbom;55;;;
Oksaharju;55;;;
Orjasniemi;55;;;
Paakkala;55;;;
Paloaho;55;;;
Pankakoski;55;;;
Parpola;55;;;
Pienmäki;55;;;
Pieski;55;;;
Pikkujämsä;55;;;
Polet;55;;;
Polttila;55;;;
Pomrén;55;;;
Pulla;55;;;
Puotinen;55;;;
Puromäki;55;;;
Raipala;55;;;
Raita-aho;55;;;
Rasehorn;55;;;
Rautioaho;55;;;
Ravolainen;55;;;
Rieskaniemi;55;;;
Rinta-Rahko;55;;;
Rolin;55;;;
Rostén;55;;;
Runeberg;55;;;
Rusk;55;;;
Rönneberg;55;;;
Safi;55;;;
Sahramaa;55;;;
Saikku;55;;;
Sakaranaho;55;;;
Salah;55;;;
Salmirinne;55;;;
Sammalmaa;55;;;
Santaoja;55;;;
Santavirta;55;;;
Seila;55;;;
Seluska;55;;;
Simell;55;;;
Sinisaari;55;;;
Smal;55;;;
Sonkamuotka;55;;;
Sorokin;55;;;
Sotala;55;;;
Stevens;55;;;
Suuniitty;55;;;
Suvanen;55;;;
Takko;55;;;
Tammipuro;55;;;
Tapionlinna;55;;;
Tarmo;55;;;
Teräslahti;55;;;
Tienaho;55;;;
Tillgren;55;;;
Tuhola;55;;;
Ullakko;55;;;
Valldén;55;;;
Valtamo;55;;;
Varvio;55;;;
Vaskivuo;55;;;
Vehmasaho;55;;;
Vesisenaho;55;;;
Vihtilä;55;;;
Viili;55;;;
Viitaluoma;55;;;
Vinnikainen;55;;;
Visapää;55;;;
von Koskull;55;;;
von Schoultz;55;;;
Vähä-Jaakkola;55;;;
Widbom;55;;;
Wilkinson;55;;;
Wuokko;55;;;
Adhikari;54;;;
Ahovaara;54;;;
Ahven;54;;;
Aliu;54;;;
Apilainen;54;;;
Arslan;54;;;
Aryal;54;;;
Aukia;54;;;
Eero;54;;;
Ekelund;54;;;
Elijoki;54;;;
Engdahl;54;;;
Etelätalo;54;;;
Felt;54;;;
Fjällström;54;;;
Haapavaara;54;;;
Hajdini;54;;;
Halmekoski;54;;;
Hamina;54;;;
Harmaajärvi;54;;;
Hauta-alus;54;;;
Heikinmäki;54;;;
Heikintalo;54;;;
Hjerp;54;;;
Honkakangas;54;;;
Huhtikangas;54;;;
Hummelin;54;;;
Ilmavirta;54;;;
Imberg;54;;;
Impilä;54;;;
Iso-Junno;54;;;
Jakkila;54;;;
Jalaskoski;54;;;
Jashari;54;;;
Jenu;54;;;
Järvikylä;54;;;
Kaarivaara;54;;;
Kahilakoski;54;;;
Kajas;54;;;
Kajo;54;;;
Kannus;54;;;
Karlén;54;;;
Karumaa;54;;;
Katvala;54;;;
Kaurahalme;54;;;
Kerkola;54;;;
Keveri;54;;;
Kirveskoski;54;;;
Kivini;54;;;
Klingenberg;54;;;
Koppala;54;;;
Koskipalo;54;;;
Kulonpää;54;;;
Kuttila;54;;;
Kähö;54;;;
Laakeristo;54;;;
Laihiainen;54;;;
Launiala;54;;;
Leikkonen;54;;;
Lepojärvi;54;;;
Lindbohm;54;;;
Lindedahl;54;;;
Lohko;54;;;
Loiri;54;;;
Lounela;54;;;
Luhio;54;;;
Luokkamäki;54;;;
Luu;54;;;
Lövdahl;54;;;
Maununiemi;54;;;
Meiseri;54;;;
Merivuori;54;;;
Metsänoja;54;;;
Michael;54;;;
Musto;54;;;
Muuraiskangas;54;;;
Mäki-Maunus;54;;;
Mäyry;54;;;
Nasi;54;;;
Nevanoja;54;;;
Nuppula;54;;;
Nyvall;54;;;
Oijennus;54;;;
Ojuva;54;;;
Pahikainen;54;;;
Paro;54;;;
Petlin;54;;;
Pettersen;54;;;
Pienimaa;54;;;
Pihlajisto;54;;;
Pihlflyckt;54;;;
Piispala;54;;;
Pohjoispää;54;;;
Porokka;54;;;
Priuska;54;;;
Prättälä;54;;;
Puotsaari;54;;;
Raitamaa;54;;;
Ramadani;54;;;
Rautsiala;54;;;
Rekikoski;54;;;
Rif;54;;;
Rinta-Jaskari;54;;;
Rintalahti;54;;;
Rinta-Piirto;54;;;
Ritoniemi;54;;;
Ruohisto;54;;;
Ruskela;54;;;
Rydenfelt;54;;;
Rytivaara;54;;;
Sailio;54;;;
Sandstedt;54;;;
Sankila;54;;;
Savén;54;;;
Seuna;54;;;
Sillfors;54;;;
Sointula;54;;;
Stepanova;54;;;
Strandström;54;;;
Tahkoniemi;54;;;
Tamm;54;;;
Tanttinen;54;;;
Tiirakari;54;;;
Tikkaoja;54;;;
Tohmola;54;;;
Torenius;54;;;
Tukio;54;;;
Tulensalo;54;;;
Tunturivuori;54;;;
Turhanen;54;;;
Urpelainen;54;;;
Vaarankorpi;54;;;
Valkiainen;54;;;
Valkiala;54;;;
Viertiö;54;;;
Viitajylhä;54;;;
Viitapohja;54;;;
Vlasov;54;;;
Välke;54;;;
Walta;54;;;
Wideman;54;;;
Wörlin;54;;;
Yliaska;54;;;
Ylikauppila;54;;;
Ylä-Jääski;54;;;
Zimmermann;54;;;
Öhrling;54;;;
Aaltomaa;53;;;
Aarto;53;;;
Ahmala;53;;;
Ahosmäki;53;;;
Alalauri;53;;;
Ala-Varvi;53;;;
Alvari;53;;;
Alvesalo;53;;;
Ammunet;53;;;
Anthoni;53;;;
Antinmaa;53;;;
Aranko;53;;;
Augustin;53;;;
Bisi;53;;;
Boxström;53;;;
Brusi;53;;;
Buckman;53;;;
Bärling;53;;;
Cantell;53;;;
Caselius;53;;;
Edberg;53;;;
Enne;53;;;
Gahmberg;53;;;
Gauriloff;53;;;
Hagelstam;53;;;
Haikkola;53;;;
Hamppula;53;;;
Hannukka;53;;;
Harjapää;53;;;
Helling;53;;;
Herrmans;53;;;
Heurlin;53;;;
Hietavirta;53;;;
Hintzell;53;;;
Hofman;53;;;
Huseen;53;;;
Hutko;53;;;
Häggblad;53;;;
Hälli;53;;;
Höri;53;;;
Iltola;53;;;
Ilvesniemi;53;;;
Jauhanen;53;;;
Jestoi;53;;;
Jouttijärvi;53;;;
Junttari;53;;;
Juura;53;;;
Järf;53;;;
Kahiluoto;53;;;
Kaikuranta;53;;;
Kalliolahti;53;;;
Kaltti;53;;;
Karelius;53;;;
Karola;53;;;
Karpov;53;;;
Kataisto;53;;;
Kavasto;53;;;
Kesola;53;;;
Koivurinta;53;;;
Kontsas;53;;;
Korajoki;53;;;
Kortejärvi;53;;;
Kortesalo;53;;;
Koskipää;53;;;
Kuuri-Riutta;53;;;
Kyheröinen;53;;;
Kynnäs;53;;;
Kässi;53;;;
Kättö;53;;;
Laaksamo;53;;;
Lahdentausta;53;;;
Laineenoja;53;;;
Larjama;53;;;
Latto;53;;;
Latva-Kiskola;53;;;
Liitiäinen;53;;;
Loimulahti;53;;;
Lukumies;53;;;
Lundman;53;;;
Luomanpää;53;;;
Löfs;53;;;
Mahmud;53;;;
Majabacka;53;;;
Marjusaari;53;;;
Maukkonen;53;;;
Meski;53;;;
Molarius;53;;;
Muhojoki;53;;;
Nikupaavo;53;;;
Nisu;53;;;
Nymander;53;;;
Nyrkkö;53;;;
Oijusluoma;53;;;
Oldenburg;53;;;
Paarma;53;;;
Paasikangas;53;;;
Palosuo;53;;;
Passinen;53;;;
Penger;53;;;
Pentinmikko;53;;;
Perjus;53;;;
Peräsaari;53;;;
Petersson;53;;;
Petterson;53;;;
Pihkoluoma;53;;;
Piippanen;53;;;
Pottala;53;;;
Punakivi;53;;;
Pyöli;53;;;
Pölhö;53;;;
Raitamäki;53;;;
Raitis;53;;;
Rancken;53;;;
Ravander;53;;;
Rihti;53;;;
Rinta-Valkama;53;;;
Rohula;53;;;
Ruskeepää;53;;;
Räikkälä;53;;;
Sacklén;53;;;
Salokivi;53;;;
Saros;53;;;
Semenov;53;;;
Sengström;53;;;
Servo;53;;;
Sievilä;53;;;
Sikström;53;;;
Sikstus;53;;;
Silanterä;53;;;
Sillanaukee;53;;;
Silmäri;53;;;
Soininvaara;53;;;
Soro;53;;;
Sosala;53;;;
Stenhammar;53;;;
Sui;53;;;
Suvisalmi;53;;;
Svensberg;53;;;
Sågfors;53;;;
Särkiniva;53;;;
Säyriö;53;;;
Tahvola;53;;;
Taiponen;53;;;
Taivaljärvi;53;;;
Taka-Eilola;53;;;
Telilä;53;;;
Tiimo;53;;;
Toivonoja;53;;;
Tokee;53;;;
Tolppola;53;;;
Tynnilä;53;;;
Uschanoff;53;;;
Uussaari;53;;;
Varheenmaa;53;;;
Vieraankivi;53;;;
Viirre;53;;;
Virko;53;;;
Vähänikkilä;53;;;
Vähä-Pietilä;53;;;
Väkinen;53;;;
Walkeajärvi;53;;;
Yavuz;53;;;
Yli-Olli;53;;;
Aimonen;52;;;
Aine;52;;;
Airamo;52;;;
Aitta-aho;52;;;
Alikirri;52;;;
Amper;52;;;
Andergård;52;;;
Arpalahti;52;;;
Asmala;52;;;
Björkenheim;52;;;
Butt;52;;;
Demirel;52;;;
Eerikinharju;52;;;
Eeronheimo;52;;;
Fernelius;52;;;
Filander;52;;;
Flemmich;52;;;
Grenman;52;;;
Haiminen;52;;;
Halen;52;;;
Harjuoja;52;;;
Hautio;52;;;
Heinrichs;52;;;
Hirvaskoski;52;;;
Hjortman;52;;;
Hoikkaniemi;52;;;
Hokajärvi;52;;;
Holpainen;52;;;
Honkaluoma;52;;;
Horko;52;;;
Hukkinen;52;;;
Högdahl;52;;;
Ihala;52;;;
Invenius;52;;;
Jalasaho;52;;;
Jensén;52;;;
Jokioinen;52;;;
Kalanen;52;;;
Kantell;52;;;
Kaskilahti;52;;;
Kauma;52;;;
Keitaanniemi;52;;;
Kemppe;52;;;
Kitinprami;52;;;
Korkiasaari;52;;;
Korp;52;;;
Kotakorva;52;;;
Kreivilä;52;;;
Krogius;52;;;
Kruuti;52;;;
Kuivikko;52;;;
Kullman;52;;;
Kulma;52;;;
Kulovuori;52;;;
Kuni;52;;;
Lavander;52;;;
Lavila;52;;;
Leandersson;52;;;
Leskisenoja;52;;;
Levälahti;52;;;
Liekari;52;;;
Lietzen;52;;;
Liiti;52;;;
Lintusaari;52;;;
Liuhanen;52;;;
Luusalo;52;;;
Lökfors;52;;;
Maunola;52;;;
Mildh;52;;;
Mire;52;;;
Mohamoud;52;;;
Mustikkamäki;52;;;
Mutila;52;;;
Myllykylä;52;;;
Mårtenson;52;;;
Mäyränen;52;;;
Naisniemi;52;;;
Neziri;52;;;
Niitynpää;52;;;
Norojärvi;52;;;
Nummisto;52;;;
Ohukainen;52;;;
Pahikkala;52;;;
Paltta;52;;;
Paulaharju;52;;;
Peltovirta;52;;;
Pihko;52;;;
Pihlavamäki;52;;;
Pruikkonen;52;;;
Päiveröinen;52;;;
Pälsynaho;52;;;
Pälve;52;;;
Raimi;52;;;
Raitakari;52;;;
Rantamo;52;;;
Rappe;52;;;
Rechardt;52;;;
Rikalainen;52;;;
Rinnet;52;;;
Risti;52;;;
Ristkari;52;;;
Rosholm;52;;;
Roström;52;;;
Ruohoranta;52;;;
Ruoko;52;;;
Rytsy;52;;;
Saadetdin;52;;;
Saanio;52;;;
Sainila;52;;;
Schreiber;52;;;
Siljamo;52;;;
Simpson;52;;;
Sipolainen;52;;;
Smed;52;;;
Steiner;52;;;
Strömfors;52;;;
Stubbe;52;;;
Sukki;52;;;
Sultsi;52;;;
Sundblad;52;;;
Syren;52;;;
Taalas;52;;;
Taka;52;;;
Teuri;52;;;
Thiel;52;;;
Tiiperi;52;;;
Tiisanoja;52;;;
Titoff;52;;;
Topi;52;;;
Tulenheimo;52;;;
Tunninen;52;;;
Tuomonen;52;;;
Turtio;52;;;
Tynkky;52;;;
Utukka;52;;;
Vaihoja;52;;;
Vairinen;52;;;
Vakoniemi;52;;;
Vannesluoma;52;;;
Varjamo;52;;;
Venhola;52;;;
Vessman;52;;;
Videnoja;52;;;
Vidqvist;52;;;
Vikstén;52;;;
Viljasalo;52;;;
Vilola;52;;;
von Troil;52;;;
Vähä-Peltomäki;52;;;
Väliharju;52;;;
Wendell;52;;;
Wikgren;52;;;
Wilander;52;;;
Xu;52;;;
Yksjärvi;52;;;
